J04257|USTH0001|C04H:0 C43A15H:9 C0413H:7 
J4314|USTH0002|C04H:0 C43A15H:15 
J04570|USTH0004|C04H:0 C43A15H:9 C0413H:4 
J4314|USTH0002M|C04H:0 C43A15H:7 C43A15HTT:5 
J4314|USTH0007|C04H:0 C43A15H:16 
J4314|USTH0002O|C04H:0 C43A15H:7 C43A15HTT:6 
J04105|U0001PLTS|C04H:0 C43A15H:2 
J04257|USTH0002|C04H:0 C43A15H:9 C0413H:8 
J041017|USTH0001|C04H:0 C43A15H:4 
J4314|USTH0003|C04H:0 C43A15H:5 
J041015|U0001PLTS|C04H:0 C43A15H:3 
J4314|USTH0002C|C04H:0 C43A15H:7 C43A15HTT:3 
J09800|U0005H|C04H:0 C43A15H:24 C09P3H:6 
J04103|USTC0001|C04H:0 C43A15H:12 
J4314|USTH0002D|C04H:0 C43A15H:7 C43A15HTT:7 
J09800|U0001H|C04H:0 C43A15H:24 C09P3H:3 
J01051||C04H:0 C04AH:6 
J010513||C04H:0 C04AH:7 
J04570|USTH0003B|C04H:0 C43A15H:9 C0413H:2 
J4314|USTH0002H|C04H:0 C43A15H:7 C43A15HTT:2 
J04570|USTH0001|C04H:0 C43A15H:9 C0413H:3 
J4314|USTH0001|C04H:0 C43A15H:14 
J01054|U0001|C04H:0 C04AH:2 
J09101|USTC0001|C04H:0 C43A15H:24 C09P3H:14 
J04570|USTH0005|C04H:0 C43A15H:9 C0413H:5 
J4314|USTH0002S|C04H:0 C43A15H:7 C43A15HTT:4 
