J4211|USTINTLCX|C58:0 C03INT:2 
J4206||C58:0 C01:8 
J4211|USTINTLDF|C58:0 C03INT:18 
J4211|USTINTLMEX|C58:0 C58:4 
J4211|USTINTLDV|C58:0 C03INT:16 
J4211|USTINTLDV2|C58:0 C03INT:17 
J4016|ZJDE0001|C58:0 C58:9 
J4211|USTINTLCV2|C58:0 C03INT:5 
J010512||C58:0 C01:7 
J01051||C58:0 C01:2 
J01054|U0001|C58:0 C01:12 
J4211|USTINTLCX2|C58:0 C03INT:3 
J4016|ZJDE0001|C58:0 C01:11 
J4211|USTINTLCV|C58:0 C03INT:4 
J010513||C58:0 C01:5 
J01053|ZJDE0001|C58:0 C01:9 
J4211|USTINTLDX2|C58:0 C03INT:15 
J42045|USTC0001|C58:0 C5811:2 
J4211|USTINTLDX|C58:0 C03INT:14 
J4211|USTPOSINTL|C58:0 C58:15 
J4211|USTINTLSTD|C58:0 C58:2 
J4211|USTINTLSMP|C58:0 C58:3 
J4101|U0001|C58:0 C5811:9 
