J4114|U0013|C41F:0 C41TXN1F:9 
J4211|USTINTCSMP|C41F:0 C732F:21 C58F:7 
J43510|USTF0001|C41F:0 C41TXN1F:17 
J4112|U3333|C41F:0 C41TXN:24 
J4114|U0009|C41F:0 C41TXN:17 
J4112|U4444|C41F:0 C41TXN:22 
J4211|USTIIPISMP|C41F:0 C732F:21 C58F:5 
J4113|U0002|C41F:0 C41TXN:1 
J4312|USTF0001PQ|C41F:0 C43PA3F:4 
J4113|U0001|C41F:0 C41TXN:10 
J4112|U0002|C41F:0 C41TXN:6 
J4114|U0010|C41F:0 C41TXN:14 
J4312|USTF0002NQ|C41F:0 C43PA3F:7 
J57616|USTC0001|C41F:0 C43PA3F:24 C732F:21 C58F:12 
J43510|USTF0001H|C41F:0 C43PA3F:11 C41TXN1F:23 
J4114|U0013B|C41F:0 C41TXN1F:10 
J4141|U0001|C41F:0 C4121F:16 
J43500|USTF0002|C41F:0 C41TXN1F:16 
J43500|USTF0002H|C41F:0 C43PA3F:11 C41TXN1F:22 
J41240|U0003F|C41F:0 C4121F:18 
J42045|USTC0001|C41F:0 C41F:23 
J4312|U0003B|C41F:0 C43PA3F:11 C41TXN1F:24 
J4211|USTINTLMEX|C41F:0 C43PA3F:24 C732F:21 C58F:4 
J4211|USTINTLMEX|C41F:0 C732F:21 C58F:4 
J42045|USTF0001|C41F:0 C43PA3F:11 C41TXN1F:8 
J4242|U0002|C41F:0 C41TXN1F:2 
J4242|U0002|C41F:0 C43PA3F:11 C41TXN1F:2 
J4112|U0003|C41F:0 C41TXN:5 
J4114|U0005|C41F:0 C41TXN:13 
J43510|USTF0001PC|C41F:0 C43PA3F:11 C41TXN1F:12 C41TXN3FPC:5 
J4211|USTINTCSMP|C41F:0 C43PA3F:24 C732F:21 C58F:7 
J4112|U0004|C41F:0 C41TXN:9 
J4211|U0001|C41F:0 C732F:22 
J41026|U0001|C41F:0 C43PA3F:24 C732F:21 C58F:14 C3111FPK2:19 
J4112|U0010|C41F:0 C41TXN:11 
J4312|U0003FPC|C41F:0 C43PA3F:11 C41TXN1F:12 C41TXN3FPC:6 
J4114|U0013|C41F:0 C43PA3F:11 C41TXN1F:9 
J4114|U0007|C41F:0 C41TXN:15 
J42045|USTC0001|C41F:0 C43PA3F:24 C732F:21 C58F:17 
J57616|USTC0001|C41F:0 C732F:21 C58F:12 
J43500|USTF0002H|C41F:0 C41TXN1F:22 
J4211|USTINTLSTD|C41F:0 C43PA3F:24 C732F:21 C58F:2 
J4312|U0003|C41F:0 C41TXN1F:18 
J42045|USTC0006|C41F:0 C4113F:22 
J41026|U0001|C41F:0 C41F:1 
J4312|U0003|C41F:0 C43PA3F:11 C41TXN1F:18 
J41026|U0001|C41F:0 C732F:21 C58F:14 C3111FPK2:19 
J42045|USTF0001|C41F:0 C41TXN1F:8 
J4211|USTINTLOTH|C41F:0 C43PA3F:24 C732F:21 C58F:6 
J41240|U0001F|C41F:0 C4121F:14 
J4312|U0003FPC|C41F:0 C41TXN1F:12 C41TXN3FPC:6 
J4116|U0099|C41F:0 C41TXN:12 
J4114|U0006|C41F:0 C41TXN:16 
J4211|USTINTLSMP|C41F:0 C732F:21 C58F:3 
J4312|USTF0003NQ|C41F:0 C43PA3F:3 
J4114|U0016|C41F:0 C41TXN:8 
J4242|U0002BF|C41F:0 C43PA3F:11 C41TXN1F:3 
J4242|U0002BF|C41F:0 C41TXN1F:3 
J4211|U0001|C41F:0 C43PA3F:24 C732F:22 
J4112|U1111A|C41F:0 C41TXN:3 
J4114|U0008|C41F:0 C41TXN:19 
J43510|USTF0001|C41F:0 C43PA3F:11 C41TXN1F:17 
J42045|USTC0001|C41F:0 C732F:14 
J42045|USTC0001|C41F:0 C732F:21 C58F:17 
J4211|USTIIPISMP|C41F:0 C43PA3F:24 C732F:21 C58F:5 
J43510|USTF0001H|C41F:0 C41TXN1F:23 
J4113|U0001|C41F:0 C43PA3F:12 
J4116|U0009|C41F:0 C41TXN:2 
J4116|U0004|C41F:0 C41TXN:20 
J4112|U1111|C41F:0 C41TXN:7 
J4112|U0001|C41F:0 C41TXN:4 
J43500|USTF0002PC|C41F:0 C43PA3F:11 C41TXN1F:12 C41TXN3FPC:4 
J4312|USTF0001NQ|C41F:0 C43PA3F:2 
J4211|USTINTLOTH|C41F:0 C732F:21 C58F:6 
J4312|U0003B|C41F:0 C41TXN1F:24 
J4312|USTF0001AQ|C41F:0 C43PA3F:5 
J43510|USTF0001PC|C41F:0 C41TXN1F:12 C41TXN3FPC:5 
J4112|U2222|C41F:0 C41TXN:23 
J4211|USTINTLSTD|C41F:0 C732F:21 C58F:2 
J4211|USTINTLSMP|C41F:0 C43PA3F:24 C732F:21 C58F:3 
J4114|U0014|C41F:0 C41TXN:21 
J42045|USTC0001|C41F:0 C43PA3F:24 C732F:14 
J43500|USTF0002|C41F:0 C43PA3F:11 C41TXN1F:16 
J43500|USTF0002PC|C41F:0 C41TXN1F:12 C41TXN3FPC:4 
J4312|USTF0004NQ|C41F:0 C43PA3F:6 
J4114|U0013B|C41F:0 C43PA3F:11 C41TXN1F:10 
