J4114|U0016|C31N:0 C3111N:1 C3111NPR:21 
J41240|U0001N|C31N:0 C41N:9 C4121N:14 
J42045|USTN0001|C31N:0 C41N:5 C41TXN1N:8 
J42045|USTC0006|C31N:0 C41N:7 C4113N:20 
J4242|U0002AN|C31N:0 C3111N:5 C3115N:15 C43PA3N:19 C41TXN1N:3 
J4114|U0006|C31N:0 C41N:3 C41TXN:16 
J4312|U0003|C31N:0 C41N:5 C41TXN1N:18 
J4112|U0001|C31N:0 C41N:3 C41TXN:4 
J4312|U0003A|C31N:0 C3111N:7 C3111ND:21 C41TXN1N:24 
J4114|U0016|C31N:0 C3111N:3 C3111NPK:20 
J4112|U0017|C31N:0 C3111N:1 C3111NPR:19 
J43500|USTN002PKG|C31N:0 C3111N:5 C3115N:15 C43PA3N:20 C43PA3NNB:3 
J42045|USTC0007|C31N:0 C41N:24 C732N:19 C732NRPTS:11 C09RET:2 
J4112|U0010|C31N:0 C41N:3 C41TXN:11 
J4312|USTN0003NQ|C31N:0 C3111N:5 C3115N:15 C43PA3N:4 
J4114|U0008|C31N:0 C41N:3 C41TXN:19 
J43510|USTN0001|C31N:0 C3111N:5 C3115N:15 C43PA3N:19 C41TXN1N:17 
J4312|USTN003PKG|C31N:0 C3111N:5 C3115N:15 C43PA3N:20 C43PA3NNB:5 
J4114|U0013A|C31N:0 C41N:5 C41TXN1N:10 
J43510|USTN0001H|C31N:0 C3111N:5 C3115N:15 C43PA3N:19 C41TXN1N:23 
J42045|USTC0001|C31N:0 C41N:24 C732N:14 
J43510|USTN0001|C31N:0 C41N:5 C41TXN1N:17 
J43500|USTN0002|C31N:0 C3111N:5 C3115N:15 C43PA3N:19 C41TXN1N:16 
J4114|U0013A|C31N:0 C3111N:7 C3111ND:21 C41TXN1N:10 
J31113|USTC0002|C31N:0 C3111N:3 C3111NPK:9 
J4114|U0016|C31N:0 C41N:3 C41TXN:8 
J43510|USTN0001PC|C31N:0 C3111N:5 C3115N:15 C43PA3N:21 C41TXN3N:17 
J4112|U0004|C31N:0 C3111N:1 C3111NPR:18 
J43500|USTN0002|C31N:0 C41N:5 C41TXN1N:16 
J4112|U1111A|C31N:0 C41N:3 C41TXN:3 
J43500|USTN0002H|C31N:0 C3111N:7 C3111ND:21 C41TXN1N:22 
J4114|U0014|C31N:0 C41N:3 C41TXN:21 
J42045|USTC0006|C31N:0 C41N:24 C732N:24 C41NSHIP:3 C4113N:20 
J43510|USTN0001H|C31N:0 C3111N:7 C3111ND:21 C41TXN1N:23 
J4312|U0003A|C31N:0 C41N:5 C41TXN1N:24 
J4113|U0001|C31N:0 C3111N:3 C3111NPK:21 
J41413|USTN0001|C31N:0 C41N:9 C4121N:19 
J4114|U0013A|C31N:0 C3111N:5 C3115N:15 C43PA3N:19 C41TXN1N:10 
J4114|U0013|C31N:0 C3111N:7 C3111ND:21 C41TXN1N:9 
J4114|U0007|C31N:0 C41N:3 C41TXN:15 
J4112|U0002|C31N:0 C41N:3 C41TXN:6 
J4112|U0003|C31N:0 C41N:3 C41TXN:5 
J4312|U0003|C31N:0 C3111N:5 C3115N:15 C43PA3N:19 C41TXN1N:18 
J4141|U0001|C31N:0 C41N:9 C4121N:16 
J31113|USTC0002PR|C31N:0 C3111N:7 C3111ND:10 
J4112|U2222|C31N:0 C41N:3 C41TXN:23 
J43510|USTN0001H|C31N:0 C41N:5 C41TXN1N:23 
J4312|U0003|C31N:0 C3111N:7 C3111ND:21 C41TXN1N:18 
J4242|U0002AN|C31N:0 C3111N:7 C3111ND:21 C41TXN1N:3 
J4242|U0002AN|C31N:0 C41N:5 C41TXN1N:3 
J41026|U0001|C31N:0 C41N:1 
J4312|U0003A|C31N:0 C3111N:5 C3115N:15 C43PA3N:19 C41TXN1N:24 
J43500|USTN0002|C31N:0 C3111N:7 C3111ND:21 C41TXN1N:16 
J4312|USTN0004NQ|C31N:0 C3111N:5 C3115N:15 C43PA3N:3 
J4114|U0009|C31N:0 C41N:3 C41TXN:17 
J4114|U0010|C31N:0 C41N:3 C41TXN:14 
J42045|USTC0001|C31N:0 C41N:23 
J4114|U0016|C31N:0 C3111N:7 C3111ND:20 
J4312|USTN0002NQ|C31N:0 C3111N:5 C3115N:15 C43PA3N:5 
J3114|USTC0001|C31N:0 C3111N:5 C3115N:3 
J4113|U0001|C31N:0 C41N:3 C41TXN:10 
J43500|USTN0002H|C31N:0 C3111N:5 C3115N:15 C43PA3N:19 C41TXN1N:22 
J4312|U0003NPC|C31N:0 C3111N:5 C3115N:15 C43PA3N:21 C41TXN3N:18 
J43500|USTN0002H|C31N:0 C41N:5 C41TXN1N:22 
J43510|USTN0001|C31N:0 C3111N:7 C3111ND:21 C41TXN1N:17 
J4112|U1111|C31N:0 C41N:3 C41TXN:7 
J4113|U0001|C31N:0 C3111N:7 C3111ND:22 
J42045|USTN0001|C31N:0 C3111N:5 C3115N:15 C43PA3N:19 C41TXN1N:8 
J4114|U0014|C31N:0 C3111N:1 C3111NPR:22 
J4116|U0004|C31N:0 C41N:3 C41TXN:20 
J43500|USTN0002PC|C31N:0 C3111N:5 C3115N:15 C43PA3N:21 C41TXN3N:16 
J4113|U0001|C31N:0 C3111N:5 C3115N:14 
J43510|USTN001PKG|C31N:0 C3111N:5 C3115N:15 C43PA3N:20 C43PA3NNB:4 
J4242|U0002|C31N:0 C41N:5 C41TXN1N:2 
J4114|U0006XP|C31N:0 C3111N:5 C3115N:15 C43PA3N:21 C41TXN3N:2 
J4114|U0005|C31N:0 C41N:3 C41TXN:13 
J4242|U0002|C31N:0 C3111N:5 C3115N:15 C43PA3N:19 C41TXN1N:2 
J31114|USTN0001|C31N:0 C3111N:3 C3111NPK:8 
J4112|U4444|C31N:0 C41N:3 C41TXN:22 
J4112|U0001|C31N:0 C41N:24 C732N:24 C41NSHIP:3 C4113N:23 
J4112|U0004|C31N:0 C41N:3 C41TXN:9 
J4312|USTN0001NQ|C31N:0 C3111N:5 C3115N:15 C43PA3N:2 
J41240|U0003N|C31N:0 C41N:9 C4121N:17 
J4112|U3333|C31N:0 C41N:3 C41TXN:24 
J42045|USTC0001|C31N:0 C41N:24 C732N:24 C41NSHIP:23 
J4114|U0013|C31N:0 C3111N:5 C3115N:15 C43PA3N:19 C41TXN1N:9 
J4116|U0099|C31N:0 C41N:3 C41TXN:12 
J4114|U0013|C31N:0 C41N:5 C41TXN1N:9 
J4112|U0001|C31N:0 C41N:7 C4113N:23 
J4113|U0002|C31N:0 C41N:3 C41TXN:1 
J4113|U0001|C31N:0 C3111N:1 C3111NPR:20 
J42045|USTN0001|C31N:0 C3111N:7 C3111ND:21 C41TXN1N:8 
J4242|U0002|C31N:0 C3111N:7 C3111ND:21 C41TXN1N:2 
J4116|U0009|C31N:0 C41N:3 C41TXN:2 
J31114|USTN0001DR|C31N:0 C3111N:7 C3111ND:9 
