J01054|U0001|C43RS:0 C01RS:1 C01R:12 
J09101|USTC0001|C43RS:0 C09RS01:2 
J4211|USTR006|C43RS:0 C09RS01:14 C42R:10 
J4211|USTR007|C43RS:0 C09RS01:14 C42R:5 
J4211|USTR009|C43RS:0 C09RS01:14 C42R:11 
J4211|USTR004|C43RS:0 C09RS01:14 C42R:6 
J4206||C43RS:0 C01RS:1 C01R:8 
J42045|USTR0001|C43RS:0 C09RS01:14 C42R:24 C42112R:2 
J42045|USTR0001|C43RS:0 C01RS:3 C03R:5 C0315R:17 
J010513||C43RS:0 C01RS:1 C01R:5 
J4211|USTR010|C43RS:0 C09RS01:14 C42R:8 
J4312|USTR0001NQ|C43RS:0 C43PA3R:2 
J010512||C43RS:0 C01RS:1 C01R:7 
J4211|USTR001|C43RS:0 C09RS01:14 C42R:3 
J4016|ZJDE0001|C43RS:0 C01RS:1 C01R:11 
J4211|USTR002|C43RS:0 C09RS01:14 C42R:4 
J4312|USTR0001NQ|C43RS:0 C09RS01:20 C43PA3R:2 
J4206||C43RS:0 C01RS:3 C03R:5 C0315R:19 
J4211|USTR003|C43RS:0 C09RS01:14 C42R:2 
J03103|USTC0002|C43RS:0 C01RS:3 C03R:3 C0312R:3 
J0006AS|ZJDE0001|C43RS:0 C09RS01:7 
J01053|ZJDE0001|C43RS:0 C01RS:3 C03R:2 C0311R:15 
J01051||C43RS:0 C01RS:1 C01R:2 
J4211|USTR005|C43RS:0 C09RS01:14 C42R:9 
J03103|USTC0011|C43RS:0 C01RS:3 C03R:3 C0312R:4 
J01053|ZJDE0001|C43RS:0 C01RS:1 C01R:9 
J4211|USTR011|C43RS:0 C09RS01:14 C42R:12 
J0901||C43RS:0 C09RS01:8 
J0901A||C43RS:0 C09RS01:9 
